Id,SalePrice
1461,118722.593814
1462,109924.067823
1463,173639.449803
1464,200255.9253
1465,198894.528895
1466,182939.071588
1467,199597.107065
1468,172632.718006
1469,207547.281358
1470,115640.398175
1471,206683.233914
1472,116293.291887
1473,92223.9216826
1474,154834.914874
1475,115429.167368
1476,319362.045051
1477,252742.763159
1478,297561.81937
1479,276886.236983
1480,408938.670839
1481,297323.268627
1482,216287.458712
1483,173599.639448
1484,173883.591411
1485,200782.557929
1486,210159.658111
1487,295850.124513
1488,265804.732609
1489,183681.438317
1490,230796.99781
1491,212853.164388
1492,89776.0102897
1493,224831.842857
1494,302701.780538
1495,285845.218067
1496,224077.894153
1497,170161.310178
1498,158805.235068
1499,166122.766915
1500,155501.162345
1501,198756.752673
1502,143479.081986
1503,289731.023669
1504,250599.812272
1505,225288.473106
1506,207802.025613
1507,250993.661439
1508,213523.679322
1509,157015.21908
1510,147571.062669
1511,147032.718873
1512,192288.534981
1513,171601.581197
1514,124338.024844
1515,222841.435485
1516,176050.025366
1517,167339.751789
1518,114174.931947
1519,247569.435273
1520,126233.744265
1521,118157.567145
1522,206337.794192
1523,79164.8460477
1524,112581.402976
1525,95672.9609606
1526,81975.8603522
1527,92806.344235
1528,154148.695634
1529,131805.848764
1530,239067.929907
1531,151108.541535
1532,92788.1610991
1533,156582.400276
1534,130331.066595
1535,152601.950655
1536,97775.3254193
1537,31979.800071
1538,190211.890175
1539,235532.870759
1540,73334.2057339
1541,159310.265999
1542,139256.10332
1543,196866.99927
1544,75335.2321621
1545,136258.116535
1546,144546.763613
1547,145103.836132
1548,140714.7875
1549,127266.6389
1550,133539.894935
1551,135880.58106
1552,135824.310159
1553,139940.559868
1554,127954.461695
1555,164705.521471
1556,75964.008838
1557,64567.4567465
1558,93625.8287707
1559,43260.0989256
1560,127000.77279
1561,90825.7506472
1562,116846.962725
1563,113340.733813
1564,153062.026029
1565,138508.923326
1566,252545.757565
1567,60736.1305686
1568,229535.072975
1569,89352.3898855
1570,143203.745529
1571,112151.54555
1572,137216.119518
1573,256558.235833
1574,119678.937144
1575,246991.914286
1576,265103.645805
1577,200165.145427
1578,152490.988524
1579,131736.644262
1580,212966.647682
1581,142198.825931
1582,124568.419625
1583,317364.462264
1584,230254.532644
1585,153129.643091
1586,45393.3072309
1587,96888.3315716
1588,143631.22118
1589,100665.801437
1590,130439.792377
1591,47161.6653486
1592,125007.302244
1593,145249.909414
1594,101442.882243
1595,94568.1560313
1596,219703.000311
1597,170278.778481
1598,208224.350727
1599,203974.463703
1600,189369.436403
1601,22028.3039119
1602,125363.403276
1603,59330.4438468
1604,259443.09961
1605,272293.569878
1606,178778.582621
1607,165807.736432
1608,227249.383069
1609,196752.087749
1610,151966.952452
1611,159728.804379
1612,161803.423752
1613,170415.260291
1614,125025.307475
1615,47265.9661645
1616,24715.0594844
1617,59130.833393
1618,108521.757072
1619,153169.845965
1620,166797.558038
1621,135385.080893
1622,124902.015796
1623,268994.016508
1624,214562.82801
1625,119671.189248
1626,198020.847198
1627,193974.381817
1628,290152.154226
1629,196155.257366
1630,323340.097022
1631,214358.135938
1632,234366.344318
1633,191402.808399
1634,195574.938009
1635,189373.743622
1636,163855.539048
1637,199548.60559
1638,226510.472037
1639,205065.515294
1640,273959.434223
1641,204093.00523
1642,229788.611111
1643,232028.931648
1644,236950.954392
1645,240140.790803
1646,184235.46771
1647,177700.134823
1648,135001.774044
1649,131630.925424
1650,111643.776807
1651,108569.936181
1652,120472.131725
1653,122173.289335
1654,155134.897615
1655,158549.097121
